date,event name,501 3DA,max min,url
2024,Dart Players New England,60.7,86.8 34.2,https://leaderboard.dartconnect.com/leaderboard#t-t_724-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players NorthWest,58.6,87.3 34.6,https://leaderboard.dartconnect.com/leaderboard#t-t_760-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Philadelphia,62.8,77.5 38.0,https://leaderboard.dartconnect.com/leaderboard#t-t_693-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Pittsburgh,60.3,89.8 34.1,https://leaderboard.dartconnect.com/leaderboard#t-t_651-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Pittsburgh Q-School,55.7,81.8 36.8,https://leaderboard.dartconnect.com/leaderboard#t-t_648-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Texas - Houston,60.9,89.3 32.0,https://leaderboard.dartconnect.com/leaderboard#t-t_811-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Texas- DFW,60.0,82.3 37.2,https://leaderboard.dartconnect.com/leaderboard#t-t_730-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Texas- SATX,56.7,76.1 40.0,https://leaderboard.dartconnect.com/leaderboard#t-t_727-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Texas- WTX,47.9,65.8 30.0,https://leaderboard.dartconnect.com/leaderboard#t-t_748-singles_01_501_si_do-all-all-all-all-all
2024,Metro Ladies Darts Tour,43.0,61.3 27.2,https://leaderboard.dartconnect.com/leaderboard#t-t_702-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players New York,63.4,82.5 44.1,https://leaderboard.dartconnect.com/leaderboard#t-t_663-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players Australia Pro Tour,74.3,100.7 44.7,https://leaderboard.dartconnect.com/leaderboard#t-t_718-singles_01_501_si_do-all-all-all-all-all
2024,Dart Players New Zealand Pro Tour,64.6,94.3 29.3,https://leaderboard.dartconnect.com/leaderboard#t-t_736-singles_01_501_si_do-all-all-all-all-all
2024,German Club Premier League,58.0,99.3 30.3,https://leaderboard.dartconnect.com/leaderboard#t-t_721-singles_01_501_si_do-all-all-all-all-all
2023,African Continental Tour,57.7,94.5 20.6,https://leaderboard.dartconnect.com/leaderboard#t-t_543-singles_01_501_si_do-all-all-all-all-all
2023,African Dart Series - Q-School,48.7,78.0 27.4,https://leaderboard.dartconnect.com/leaderboard#t-t_363-singles_01_501_si_do-all-all-all-all-all
2023,PDC Asia - China Premier League,79.6,94.6 63.4,https://leaderboard.dartconnect.com/leaderboard#t-t_344-singles_01_501_si_do-all-all-all-all-all
2023,PDC Asia - China Series A League,66.2,78.0 53.8,https://leaderboard.dartconnect.com/leaderboard#t-t_346-singles_01_501_si_do-all-all-all-all-all
2023,2023 Series,65.3,85.6 39.5,https://leaderboard.dartconnect.com/leaderboard#t-t_474-singles_01_501_si_do-all-all-all-all-all
2023,2023 UK & EU,59.6,86.9 40.7,https://leaderboard.dartconnect.com/leaderboard#t-t_357-singles_01_501_si_do-all-all-all-all-all
2023,Asas Adatas 2023,53.7,89.2 20.5,https://leaderboard.dartconnect.com/leaderboard#t-t_351-singles_01_501_si_do-all-all-all-all-all
